Starting Price is $10.00
On Day 1, price is: $10.75
On Day 295, price is: $128.92
On Day 296, price is: $123.30
On Day 297, price is: $134.12
On Day 298, price is: $146.96
On Day 299, price is: $153.26
On Day 300, price is: $161.28
On Day 301, price is: $167.36
On Day 302, price is: $166.24
On Day 303, price is: $159.23
On Day 304, price is: $171.00
On Day 305, price is: $170.88
On Day 306, price is: $179.32
On Day 307, price is: $182.72
On Day 308, price is: $194.91
On Day 309, price is: $191.28
On Day 310, price is: $185.08
On Day 311, price is: $199.09
On Day 312, price is: $193.47
On Day 313, price is: $184.12
On Day 314, price is: $181.07
On Day 315, price is: $175.44
On Day 316, price is: $174.05
On Day 317, price is: $179.52
On Day 318, price is: $179.45
On Day 319, price is: $186.42
On Day 320, price is: $192.71
On Day 321, price is: $206.69
On Day 322, price is: $198.51
On Day 323, price is: $192.77
On Day 324, price is: $193.16
On Day 325, price is: $183.87
On Day 326, price is: $190.43
On Day 327, price is: $201.22
On Day 328, price is: $200.24
On Day 329, price is: $204.78
On Day 330, price is: $211.30
On Day 331, price is: $207.29
On Day 332, price is: $199.56
On Day 333, price is: $198.64
On Day 334, price is: $195.60
On Day 335, price is: $195.39
On Day 336, price is: $210.39
On Day 337, price is: $229.03
On Day 338, price is: $229.96
On Day 339, price is: $228.34
On Day 340, price is: $248.12
On Day 341, price is: $247.81
On Day 342, price is: $238.85
On Day 343, price is: $245.28
On Day 344, price is: $239.70
On Day 345, price is: $245.54
On Day 346, price is: $267.88
On Day 347, price is: $289.17
On Day 348, price is: $287.72
On Day 349, price is: $277.26
On Day 350, price is: $264.90
On Day 351, price is: $256.60
On Day 352, price is: $261.09
On Day 353, price is: $257.26
On Day 354, price is: $264.77
On Day 355, price is: $272.00
On Day 356, price is: $266.93
On Day 357, price is: $290.26
On Day 358, price is: $275.99
On Day 359, price is: $285.72
On Day 360, price is: $272.12
On Day 361, price is: $260.61
On Day 362, price is: $253.55
On Day 363, price is: $272.43
On Day 364, price is: $268.55
On Day 365, price is: $263.29
On Day 366, price is: $262.90
On Day 367, price is: $260.93
On Day 368, price is: $263.31
On Day 369, price is: $262.84
On Day 370, price is: $262.56
On Day 371, price is: $282.96
On Day 372, price is: $269.67
On Day 373, price is: $295.71
On Day 374, price is: $285.41
On Day 375, price is: $276.76
On Day 376, price is: $302.07
On Day 377, price is: $312.22
On Day 378, price is: $326.55
On Day 379, price is: $311.74
On Day 380, price is: $330.60
On Day 381, price is: $332.05
On Day 382, price is: $317.62
On Day 383, price is: $326.46
On Day 384, price is: $355.48
On Day 385, price is: $377.66
On Day 386, price is: $387.98
On Day 387, price is: $397.66
On Day 388, price is: $394.68
On Day 389, price is: $382.62
On Day 390, price is: $388.78
On Day 391, price is: $402.18
On Day 392, price is: $403.63
On Day 393, price is: $436.27
On Day 394, price is: $425.31
On Day 395, price is: $440.91
On Day 396, price is: $433.29
On Day 397, price is: $474.96
On Day 398, price is: $517.03
On Day 399, price is: $536.67
On Day 400, price is: $563.92
On Day 401, price is: $563.89
On Day 402, price is: $555.29
On Day 403, price is: $548.24
On Day 404, price is: $568.20
On Day 405, price is: $574.20
On Day 406, price is: $603.14
On Day 407, price is: $602.19
On Day 408, price is: $623.52
On Day 409, price is: $662.24
On Day 410, price is: $722.48
On Day 411, price is: $765.49
On Day 412, price is: $755.63
On Day 413, price is: $789.70
On Day 414, price is: $751.98
On Day 415, price is: $723.36
On Day 416, price is: $691.45
On Day 417, price is: $663.06
On Day 418, price is: $646.93
On Day 419, price is: $632.05
On Day 420, price is: $680.84
On Day 421, price is: $678.89
On Day 422, price is: $654.73
On Day 423, price is: $652.40
On Day 424, price is: $620.49
On Day 425, price is: $620.42
On Day 426, price is: $607.73
On Day 427, price is: $603.89
On Day 428, price is: $583.26
On Day 429, price is: $563.98
On Day 430, price is: $552.09
On Day 431, price is: $592.82
On Day 432, price is: $568.50
On Day 433, price is: $606.95
On Day 434, price is: $606.79
On Day 435, price is: $609.41
On Day 436, price is: $656.65
On Day 437, price is: $664.45
On Day 438, price is: $670.87
On Day 439, price is: $654.13
On Day 440, price is: $643.98
On Day 441, price is: $639.60
On Day 442, price is: $663.54
On Day 443, price is: $668.41
On Day 444, price is: $703.25
On Day 445, price is: $680.25
On Day 446, price is: $662.95
On Day 447, price is: $646.04
On Day 448, price is: $637.62
On Day 449, price is: $631.02
On Day 450, price is: $602.43
On Day 451, price is: $575.52
On Day 452, price is: $554.51
On Day 453, price is: $538.62
On Day 454, price is: $525.95
On Day 455, price is: $526.01
On Day 456, price is: $525.44
On Day 457, price is: $514.15
On Day 458, price is: $511.22
On Day 459, price is: $503.86
On Day 460, price is: $516.92
On Day 461, price is: $533.41
On Day 462, price is: $520.50
On Day 463, price is: $511.63
On Day 464, price is: $517.84
On Day 465, price is: $506.66
On Day 466, price is: $507.32
On Day 467, price is: $515.14
On Day 468, price is: $493.74
On Day 469, price is: $536.94
On Day 470, price is: $538.68
On Day 471, price is: $512.28
On Day 472, price is: $548.48
On Day 473, price is: $535.78
On Day 474, price is: $521.78
On Day 475, price is: $544.80
On Day 476, price is: $539.60
On Day 477, price is: $572.67
On Day 478, price is: $563.87
On Day 479, price is: $562.79
On Day 480, price is: $595.23
On Day 481, price is: $610.70
On Day 482, price is: $605.87
On Day 483, price is: $656.18
On Day 484, price is: $648.10
On Day 485, price is: $661.21
On Day 486, price is: $642.28
On Day 487, price is: $688.25
On Day 488, price is: $694.22
On Day 489, price is: $745.23
On Day 490, price is: $747.99
On Day 491, price is: $801.67
On Day 492, price is: $864.52
On Day 493, price is: $947.58
On Day 494, price is: $943.30
On Day 495, price is: $896.97
On Day 496, price is: $943.79
On Day 497, price is: $925.00
On Day 498, price is: $955.75
On Day 499, price is: $977.38
On Day 500, price is: $935.65
On Day 501, price is: $937.21
On Day 502, price is: $980.25
On Day 503, price is: $1,037.36
